initial: 101 - diverse_no_blind_seed
[2022-04-09 12:50:53.899215]Total energy: 19615975.853712693
[2022-04-09 12:52:38.645767]Total energy: 19686129.428315405
[2022-04-09 12:54:12.103310]Total energy: 19666424.86070124
[2022-04-09 12:55:45.377964]Total energy: 19682984.607346628
[2022-04-09 12:57:17.050048]Total energy: 19658564.029415034
[2022-04-09 12:58:50.690265]Total energy: 19679317.6863199
[2022-04-09 13:00:51.411976]Total energy: 19681514.684554707
[2022-04-09 13:02:45.866786]Total energy: 19631350.98255212
[2022-04-09 13:04:33.714493]Total energy: 19713823.386170227
[2022-04-09 13:06:09.086870]Total energy: 19603562.04603352
[2022-04-09 13:07:42.640173]Total energy: 19642520.382724736
[2022-04-09 13:09:18.582679]Total energy: 19673237.099963065
[2022-04-09 13:11:18.047855]Total energy: 19655294.697647877
[2022-04-09 13:13:08.667785]Total energy: 19690609.36688774
[2022-04-09 13:14:47.222182]Total energy: 19599643.99796727
[2022-04-09 13:16:18.996774]Total energy: 19822878.96582427
[2022-04-09 13:17:50.191625]Total energy: 19676887.04656957
[2022-04-09 13:19:25.580783]Total energy: 19760873.00301149
[2022-04-09 13:21:02.629191]Total energy: 19769601.61340406
[2022-04-09 13:22:41.737424]Total energy: 19728088.530790985
[2022-04-09 13:24:11.848581]Total energy: 19733065.837693937
[2022-04-09 13:25:42.278935]Total energy: 19746683.033079423
[2022-04-09 13:27:17.420249]Total energy: 19871877.31359383
[2022-04-09 13:28:50.402879]Total energy: 19702523.552600402
[2022-04-09 13:30:40.701521]Total energy: 19775841.372381534
[2022-04-09 13:32:21.776547]Total energy: 19749991.744319696
[2022-04-09 13:33:58.401159]Total energy: 19734467.50321255
[2022-04-09 13:35:33.673962]Total energy: 19800771.07856425
[2022-04-09 13:37:09.369582]Total energy: 19750703.24678025
[2022-04-09 13:38:46.085557]Total energy: 19737875.663813632
[2022-04-09 13:40:19.138239]Total energy: 19794791.856695306
[2022-04-09 13:42:06.548777]Total energy: 19773682.891624965
[2022-04-09 13:43:39.081782]Total energy: 19720893.53706539
[2022-04-09 13:45:11.808093]Total energy: 19716417.825404454
[2022-04-09 13:46:45.589855]Total energy: 19782647.16982402
[2022-04-09 13:48:18.266073]Total energy: 19727368.613358643
[2022-04-09 13:49:53.227155]Total energy: 19840263.47046809
[2022-04-09 13:51:34.655033]Total energy: 19745756.48008584
[2022-04-09 13:53:42.714132]Total energy: 19795478.8352119
[2022-04-09 13:56:04.754057]Total energy: 19718504.50887553
[2022-04-09 13:58:27.286772]Total energy: 19795124.1166145
[2022-04-09 14:01:11.149706]Total energy: 19782566.372129556
[2022-04-09 14:03:51.598569]Total energy: 19785409.213959772
[2022-04-09 14:06:13.945096]Total energy: 19772149.86534607
[2022-04-09 14:08:39.469382]Total energy: 19685463.60383295
[2022-04-09 14:11:12.356019]Total energy: 19684566.49223468
[2022-04-09 14:13:42.177886]Total energy: 19760651.223926675
[2022-04-09 14:16:01.262679]Total energy: 19727286.097267885
[2022-04-09 14:18:31.727316]Total energy: 19885738.00129931
[2022-04-09 14:20:14.624417]Total energy: 19756352.289317623
[2022-04-09 14:21:45.546833]Total energy: 19711911.46301078
[2022-04-09 14:23:19.059134]Total energy: 19827208.677754413
[2022-04-09 14:24:51.755490]Total energy: 19768189.333328683
[2022-04-09 14:26:25.260728]Total energy: 19657525.726291828
[2022-04-09 14:27:57.704129]Total energy: 19718752.706893355
[2022-04-09 14:29:29.617981]Total energy: 19818606.993866675
[2022-04-09 14:31:20.504204]Total energy: 19799780.2016916
[2022-04-09 14:33:03.288420]Total energy: 19794903.67264518
[2022-04-09 14:34:37.414264]Total energy: 19795428.569723457
[2022-04-09 14:36:13.873698]Total energy: 19817924.23658428
[2022-04-09 14:37:47.360196]Total energy: 19808466.355609007
[2022-04-09 14:39:20.923622]Total energy: 19751948.62546136
[2022-04-09 14:41:15.432526]Total energy: 19844545.874554884
[2022-04-09 14:43:07.752351]Total energy: 19754332.97154495
[2022-04-09 14:44:55.926297]Total energy: 19723058.271392833
[2022-04-09 14:46:33.555286]Total energy: 19733402.106646646
