initial: all - diverse_no_blind_all
[2022-04-09 15:31:07.718400]Total energy: 16843514.974217094
[2022-04-09 15:32:46.931773]Total energy: 16869347.32178434
[2022-04-09 15:34:06.606335]Total energy: 16860533.62070827
[2022-04-09 15:35:25.006387]Total energy: 16859642.32591926
[2022-04-09 15:36:44.474088]Total energy: 16854607.32677171
[2022-04-09 15:38:04.360526]Total energy: 16831777.5692795
[2022-04-09 15:39:23.261804]Total energy: 16842520.77810145
[2022-04-09 15:41:05.939282]Total energy: 16901992.008354627
[2022-04-09 15:42:34.613013]Total energy: 16881584.07470696
[2022-04-09 15:43:58.368253]Total energy: 16830060.88667667
[2022-04-09 15:45:18.581528]Total energy: 16868720.905924175
[2022-04-09 15:46:41.949872]Total energy: 16837534.992648806
[2022-04-09 15:48:04.326416]Total energy: 16835746.821902797
[2022-04-09 15:49:25.742746]Total energy: 16873099.3185971
[2022-04-09 15:50:51.528681]Total energy: 16854594.892057553
[2022-04-09 15:52:13.632584]Total energy: 16816924.820746657
[2022-04-09 15:53:33.439574]Total energy: 16834873.51252505
[2022-04-09 15:54:58.976082]Total energy: 16827627.092321202
[2022-04-09 15:56:21.304739]Total energy: 16848544.688965943
[2022-04-09 15:57:42.976295]Total energy: 16865257.82214907
[2022-04-09 15:59:05.604775]Total energy: 16839256.76447186
[2022-04-09 16:00:55.414599]Total energy: 16836194.13599222
[2022-04-09 16:02:41.871031]Total energy: 16862984.39733222
[2022-04-09 16:04:12.209457]Total energy: 16854641.908354126
[2022-04-09 16:05:32.278453]Total energy: 16856107.252317503
[2022-04-09 16:06:52.609070]Total energy: 16816962.759291183
[2022-04-09 16:08:15.769812]Total energy: 16874315.093400802
[2022-04-09 16:09:36.767224]Total energy: 16818939.663560104
[2022-04-09 16:11:31.479093]Total energy: 16862895.363199048
[2022-04-09 16:13:01.703454]Total energy: 16838541.381591447
[2022-04-09 16:14:35.939022]Total energy: 16867030.70862818
[2022-04-09 16:16:01.181551]Total energy: 16823053.703338373
[2022-04-09 16:17:21.733630]Total energy: 16849205.53901207
[2022-04-09 16:18:42.893308]Total energy: 16870943.392623577
[2022-04-09 16:20:05.947294]Total energy: 16858623.1965714
[2022-04-09 16:21:37.069802]Total energy: 16855816.829261526
[2022-04-09 16:23:04.685998]Total energy: 16865007.74818473
[2022-04-09 16:24:28.986382]Total energy: 16877174.09265877
[2022-04-09 16:25:50.355603]Total energy: 16854892.335359942
[2022-04-09 16:27:11.803052]Total energy: 16869385.41558985
[2022-04-09 16:28:33.339719]Total energy: 16877494.349184565
[2022-04-09 16:29:54.664417]Total energy: 16855939.49193866
[2022-04-09 16:31:23.905600]Total energy: 16836534.074829925
[2022-04-09 16:32:58.145093]Total energy: 16850753.316439584
[2022-04-09 16:34:22.567973]Total energy: 16828074.511607986
[2022-04-09 16:35:45.722391]Total energy: 16845108.582098197
[2022-04-09 16:37:08.062983]Total energy: 16845060.9959507
[2022-04-09 16:38:30.556942]Total energy: 16851082.38701742
[2022-04-09 16:39:52.570088]Total energy: 16847863.213935666
[2022-04-09 16:41:29.823384]Total energy: 16833003.66357427
[2022-04-09 16:43:00.726307]Total energy: 16793972.50503047
[2022-04-09 16:44:30.759495]Total energy: 16897173.029434137
[2022-04-09 16:45:52.028416]Total energy: 16827949.945047818
[2022-04-09 16:47:16.334089]Total energy: 16847946.31511665
[2022-04-09 16:48:38.791187]Total energy: 16867738.825596247
[2022-04-09 16:50:01.281430]Total energy: 16844883.171948645
[2022-04-09 16:51:24.620579]Total energy: 16782897.58307481
[2022-04-09 16:52:47.312040]Total energy: 16835025.33288773
[2022-04-09 16:54:09.736261]Total energy: 16874401.6458166
[2022-04-09 16:55:32.296653]Total energy: 16884603.835719313
[2022-04-09 16:56:53.509151]Total energy: 16840819.260771386
[2022-04-09 16:58:15.486187]Total energy: 16870567.101797152
[2022-04-09 16:59:38.241967]Total energy: 16840045.141396657
[2022-04-09 17:01:05.454325]Total energy: 16838280.617350444
[2022-04-09 17:02:33.274616]Total energy: 16834299.918900177
[2022-04-09 17:03:56.641753]Total energy: 16860114.016564988
[2022-04-09 17:05:19.903342]Total energy: 16819423.187880035
[2022-04-09 17:06:42.005056]Total energy: 16861790.676707093
[2022-04-09 17:08:02.639329]Total energy: 16870972.01661739
[2022-04-09 17:09:24.439272]Total energy: 16879262.091660056
[2022-04-09 17:11:02.564211]Total energy: 16841649.75368604
[2022-04-09 17:12:42.989495]Total energy: 16858701.62417322
[2022-04-09 17:14:07.432046]Total energy: 16853541.690984532
[2022-04-09 17:15:29.799914]Total energy: 16876546.70056428
[2022-04-09 17:16:53.152066]Total energy: 16827538.514033765
[2022-04-09 17:18:14.506410]Total energy: 16816778.013839975
[2022-04-09 17:19:37.345026]Total energy: 16876392.316930134
[2022-04-09 17:21:09.656620]Total energy: 16833439.893406156
