initial: all - diverse_all
[2022-04-07 22:04:35.059034]Total energy: 16901012.78190989
[2022-04-07 22:05:48.885865]Total energy: 16957026.364339616
[2022-04-07 22:07:03.853731]Total energy: 16954729.051364534
[2022-04-07 22:08:20.406355]Total energy: 16945925.886546493
[2022-04-07 22:09:35.354466]Total energy: 16901899.863288864
[2022-04-07 22:10:56.645434]Total energy: 16908163.926224943
[2022-04-07 22:12:14.021170]Total energy: 16921934.675648082
[2022-04-07 22:13:30.385252]Total energy: 16882436.39571209
[2022-04-07 22:14:44.296377]Total energy: 16897433.31030596
[2022-04-07 22:15:59.410846]Total energy: 16888661.224894352
[2022-04-07 22:17:15.193618]Total energy: 16931312.897869162
[2022-04-07 22:18:30.855272]Total energy: 16910409.518485166
[2022-04-07 22:19:45.529320]Total energy: 16941614.822918896
[2022-04-07 22:21:10.583534]Total energy: 16938829.485401303
[2022-04-07 22:22:28.658345]Total energy: 16922838.709388465
[2022-04-07 22:23:43.924831]Total energy: 16892170.467434973
[2022-04-07 22:24:59.480299]Total energy: 16910121.87125127
[2022-04-07 22:26:14.877420]Total energy: 16901663.63166069
[2022-04-07 22:27:29.863200]Total energy: 16883902.892625287
[2022-04-07 22:28:43.811622]Total energy: 16908078.97396716
[2022-04-07 22:29:57.754173]Total energy: 16906256.510643087
[2022-04-07 22:31:20.815433]Total energy: 16899522.324940775
[2022-04-07 22:32:40.448552]Total energy: 16890227.298107672
[2022-04-07 22:33:55.954119]Total energy: 16898567.668977454
[2022-04-07 22:35:11.832668]Total energy: 16882817.811910246
[2022-04-07 22:36:27.060768]Total energy: 16903495.869146843
[2022-04-07 22:37:42.503228]Total energy: 16885151.93422973
[2022-04-07 22:38:58.271305]Total energy: 16862865.02668448
[2022-04-07 22:40:16.464127]Total energy: 16894250.02351611
[2022-04-07 22:41:37.768210]Total energy: 16921835.396632344
[2022-04-07 22:42:56.116865]Total energy: 16879235.327605594
[2022-04-07 22:44:12.380520]Total energy: 16901987.747004498
[2022-04-07 22:45:27.161445]Total energy: 16923288.360506922
[2022-04-07 22:46:42.436328]Total energy: 16921366.65267165
[2022-04-07 22:47:57.999761]Total energy: 16901267.730662897
[2022-04-07 22:49:15.329041]Total energy: 16885848.47512359
[2022-04-07 22:50:32.352290]Total energy: 16929470.50958357
[2022-04-07 22:51:49.573026]Total energy: 16856567.98001667
[2022-04-07 22:53:04.791978]Total energy: 16851601.452970106
[2022-04-07 22:54:19.906419]Total energy: 16861588.20874109
[2022-04-07 22:55:35.935096]Total energy: 16904484.48762518
[2022-04-07 22:56:54.813067]Total energy: 16913070.76163666
[2022-04-07 22:58:11.522716]Total energy: 16893841.403838657
[2022-04-07 22:59:35.734480]Total energy: 16915769.36795828
[2022-04-07 23:00:58.952302]Total energy: 16910160.175550207
[2022-04-07 23:02:19.953710]Total energy: 16885323.908021435
[2022-04-07 23:03:35.510709]Total energy: 16881103.614484854
[2022-04-07 23:04:51.231164]Total energy: 16877386.941132326
[2022-04-07 23:06:06.931299]Total energy: 16873147.32403615
[2022-04-07 23:07:22.276322]Total energy: 16897667.477813862
[2022-04-07 23:08:36.613047]Total energy: 16924562.5244732
[2022-04-07 23:09:51.396484]Total energy: 16889724.58199988
[2022-04-07 23:11:15.076568]Total energy: 16877420.87250054
[2022-04-07 23:12:32.758979]Total energy: 16915945.516130414
[2022-04-07 23:13:48.338884]Total energy: 16892231.18406316
[2022-04-07 23:15:05.193631]Total energy: 16915052.40009183
[2022-04-07 23:16:31.727901]Total energy: 16923313.654241912
[2022-04-07 23:17:46.801978]Total energy: 16884451.750832323
[2022-04-07 23:19:02.372654]Total energy: 16895323.024997137
[2022-04-07 23:20:19.158374]Total energy: 16884205.9600253
[2022-04-07 23:21:38.911514]Total energy: 16886917.442424167
[2022-04-07 23:22:56.217604]Total energy: 16913406.633058146
[2022-04-07 23:24:12.219463]Total energy: 16857188.81361802
[2022-04-07 23:25:26.689121]Total energy: 16860865.07120407
[2022-04-07 23:26:45.120863]Total energy: 16910367.634695686
[2022-04-07 23:28:02.635991]Total energy: 16887048.877615064
[2022-04-07 23:29:23.123230]Total energy: 16906351.36215953
[2022-04-07 23:30:56.193103]Total energy: 16962029.998247318
[2022-04-07 23:32:16.161172]Total energy: 16895645.49324197
[2022-04-07 23:33:33.644830]Total energy: 16874795.406766485
[2022-04-07 23:34:49.683641]Total energy: 16933506.12060961
[2022-04-07 23:36:07.960039]Total energy: 16869254.164583832
[2022-04-07 23:37:25.893323]Total energy: 16889238.312007457
[2022-04-07 23:38:40.625008]Total energy: 16893781.687921364
[2022-04-07 23:39:55.561083]Total energy: 16893884.086412903
[2022-04-07 23:41:15.299051]Total energy: 16909341.135602232
[2022-04-07 23:42:32.666291]Total energy: 16908922.2091438
[2022-04-07 23:43:46.099987]Total energy: 16883484.654231954
[2022-04-07 23:44:59.932924]Total energy: 16907726.31658531
[2022-04-07 23:46:14.597176]Total energy: 16865785.49151303
[2022-04-07 23:47:28.229000]Total energy: 16867750.78093796
[2022-04-07 23:48:35.066799]Total energy: 16894621.42774086
[2022-04-07 23:49:42.143460]Total energy: 16884257.291031662
[2022-04-07 23:50:59.935173]Total energy: 16850827.311999574
[2022-04-07 23:52:18.582253]Total energy: 16927770.072794788
[2022-04-07 23:53:36.246907]Total energy: 16921453.409166604
[2022-04-07 23:54:50.660404]Total energy: 16935525.675687667
[2022-04-07 23:56:04.392464]Total energy: 16872846.652435176
[2022-04-07 23:57:15.950099]Total energy: 16910644.978093106
[2022-04-07 23:58:27.082872]Total energy: 16892546.702275414
[2022-04-07 23:59:39.691241]Total energy: 16881720.389217626
[2022-04-08 00:00:51.258641]Total energy: 16919318.26713525
[2022-04-08 00:02:08.223579]Total energy: 16950071.5006137
[2022-04-08 00:03:21.562227]Total energy: 16914327.903664455
[2022-04-08 00:04:34.904004]Total energy: 16869316.40072896
[2022-04-08 00:05:58.794782]Total energy: 16893157.767143175
[2022-04-08 00:07:11.050449]Total energy: 16894018.458317883
[2022-04-08 00:08:22.719044]Total energy: 16893438.248988893
[2022-04-08 00:09:37.305700]Total energy: 16901931.488155138
[2022-04-08 00:10:56.040573]Total energy: 16892143.091666423
[2022-04-08 00:12:09.189071]Total energy: 16875581.258422192
[2022-04-08 00:13:20.425658]Total energy: 16867654.956453208
[2022-04-08 00:14:35.711673]Total energy: 16863401.414894447
[2022-04-08 00:15:49.321260]Total energy: 16890473.451356206
[2022-04-08 00:17:03.392002]Total energy: 16818918.540383413
[2022-04-08 00:18:16.927932]Total energy: 16873809.288629547
[2022-04-08 00:19:28.961211]Total energy: 16911828.832711797
[2022-04-08 00:20:47.522901]Total energy: 16907036.75908686
[2022-04-08 00:22:01.024535]Total energy: 16874339.74511195
[2022-04-08 00:23:14.942897]Total energy: 16876777.052514356
[2022-04-08 00:24:30.444198]Total energy: 16887983.612933237
[2022-04-08 00:25:42.809319]Total energy: 16872294.46905671
[2022-04-08 00:26:56.738883]Total energy: 16895934.23112782
[2022-04-08 00:28:09.570790]Total energy: 16897391.873168655
[2022-04-08 00:29:23.073632]Total energy: 16915776.69048647
[2022-04-08 00:30:46.058939]Total energy: 16888343.44381364
[2022-04-08 00:32:08.839792]Total energy: 16877795.04402726
[2022-04-08 00:33:25.647761]Total energy: 16841984.116787363
[2022-04-08 00:34:39.331654]Total energy: 16871607.944857005
[2022-04-08 00:35:53.554718]Total energy: 16875702.283677153
[2022-04-08 00:37:06.714014]Total energy: 16877045.185206473
[2022-04-08 00:38:19.197527]Total energy: 16896379.112775356
[2022-04-08 00:39:34.079283]Total energy: 16912059.48656547
[2022-04-08 00:41:01.565741]Total energy: 16886366.274158645
[2022-04-08 00:42:18.285335]Total energy: 16905915.533464372
[2022-04-08 00:43:32.035051]Total energy: 16888647.682165716
[2022-04-08 00:44:46.079408]Total energy: 16859981.577764798
[2022-04-08 00:45:59.502421]Total energy: 16894810.559697013
[2022-04-08 00:47:13.945050]Total energy: 16872128.630691625
[2022-04-08 00:48:26.374021]Total energy: 16858356.789718546
[2022-04-08 00:49:38.509949]Total energy: 16863379.23303256
[2022-04-08 00:50:54.763582]Total energy: 16868222.35315105
[2022-04-08 00:52:15.995177]Total energy: 16890805.66400009
[2022-04-08 00:53:31.839033]Total energy: 16888677.83672172
[2022-04-08 00:54:46.221614]Total energy: 16896359.29821028
[2022-04-08 00:55:59.805728]Total energy: 16911333.631498247
[2022-04-08 00:57:13.455703]Total energy: 16888299.340352543
[2022-04-08 00:58:27.328111]Total energy: 16874405.635848854
[2022-04-08 00:59:40.282337]Total energy: 16909653.034184158
[2022-04-08 01:01:06.793093]Total energy: 16909258.0743458
[2022-04-08 01:02:21.801406]Total energy: 16865369.29710768
[2022-04-08 01:03:36.059654]Total energy: 16861615.97443571
[2022-04-08 01:04:50.004798]Total energy: 16909885.595938154
[2022-04-08 01:06:02.565794]Total energy: 16900535.09943405
[2022-04-08 01:07:16.688744]Total energy: 16880138.342481293
[2022-04-08 01:08:30.983674]Total energy: 16881732.471315652
[2022-04-08 01:09:45.357335]Total energy: 16938124.82165639
[2022-04-08 01:11:07.872154]Total energy: 16882329.86504737
[2022-04-08 01:12:24.646990]Total energy: 16874319.023190763
[2022-04-08 01:13:40.305254]Total energy: 16844602.17347552
[2022-04-08 01:14:55.344121]Total energy: 16857173.738264743
[2022-04-08 01:16:07.868352]Total energy: 16834281.6644906
[2022-04-08 01:17:21.518929]Total energy: 16884180.145469513
[2022-04-08 01:18:36.585286]Total energy: 16907493.181180593
[2022-04-08 01:19:50.395517]Total energy: 16888706.346738175
[2022-04-08 01:21:13.796535]Total energy: 16889509.996026292
[2022-04-08 01:22:31.745021]Total energy: 16842014.151428577
[2022-04-08 01:23:46.921201]Total energy: 16895166.66758222
[2022-04-08 01:25:02.473252]Total energy: 16868818.882184114
[2022-04-08 01:26:16.059061]Total energy: 16912307.76774285
[2022-04-08 01:27:30.474477]Total energy: 16904785.3851464
[2022-04-08 01:28:44.633192]Total energy: 16895067.98468185
[2022-04-08 01:29:58.988530]Total energy: 16890978.0794336
[2022-04-08 01:31:14.765762]Total energy: 16876108.749250203
[2022-04-08 01:32:28.747786]Total energy: 16877148.48332145
[2022-04-08 01:33:42.009541]Total energy: 16907114.446161553
[2022-04-08 01:34:56.130716]Total energy: 16880174.729555547
[2022-04-08 01:36:27.309482]Total energy: 16896795.54252171
[2022-04-08 01:37:43.441189]Total energy: 16906501.81053797
[2022-04-08 01:38:56.271603]Total energy: 16898224.421097476
[2022-04-08 01:40:12.817966]Total energy: 16863693.276139837
[2022-04-08 01:41:33.954238]Total energy: 16891385.94410027
[2022-04-08 01:42:56.057705]Total energy: 16909099.76792519
[2022-04-08 01:44:10.560510]Total energy: 16892934.53855669
[2022-04-08 01:45:26.843035]Total energy: 16862556.350510705
[2022-04-08 01:46:44.872773]Total energy: 16866495.9083175
[2022-04-08 01:47:59.405252]Total energy: 16862556.755342722
[2022-04-08 01:49:18.895842]Total energy: 16914130.05838488
[2022-04-08 01:50:37.878853]Total energy: 16919614.27717854
[2022-04-08 01:51:55.423846]Total energy: 16892273.260605346
[2022-04-08 01:53:14.246533]Total energy: 16903107.847266495
[2022-04-08 01:54:29.490888]Total energy: 16880630.601490263
[2022-04-08 01:55:47.703706]Total energy: 16850585.71406805
[2022-04-08 01:57:03.941611]Total energy: 16905591.60377115
[2022-04-08 01:58:18.781023]Total energy: 16871832.14705454
[2022-04-08 01:59:32.538740]Total energy: 16884606.298781585
[2022-04-08 02:01:01.139963]Total energy: 16864188.393440887
[2022-04-08 02:02:22.015009]Total energy: 16884813.044875465
[2022-04-08 02:03:36.939759]Total energy: 16952272.096939605
[2022-04-08 02:04:54.413085]Total energy: 16911672.051060475
[2022-04-08 02:06:10.982195]Total energy: 16899267.584599487
[2022-04-08 02:07:27.480794]Total energy: 16908000.68561714
[2022-04-08 02:08:44.196836]Total energy: 16907823.942882843
[2022-04-08 02:09:56.056235]Total energy: 16913624.41451557
[2022-04-08 02:11:15.727739]Total energy: 16891419.091523316
[2022-04-08 02:12:33.788515]Total energy: 16889901.2480154
[2022-04-08 02:13:49.292350]Total energy: 16897587.217102528
[2022-04-08 02:15:06.437327]Total energy: 16889482.982645404
[2022-04-08 02:16:22.124532]Total energy: 16887340.553586494
[2022-04-08 02:17:34.061369]Total energy: 16893874.600118153
[2022-04-08 02:18:52.352789]Total energy: 16847542.834625985
[2022-04-08 02:20:04.658699]Total energy: 16840966.731981453
[2022-04-08 02:21:33.712085]Total energy: 16860873.136694156
[2022-04-08 02:22:59.619805]Total energy: 16823664.229050808
[2022-04-08 02:24:17.331815]Total energy: 16836200.868174735
[2022-04-08 02:25:43.238762]Total energy: 16847614.37630518
[2022-04-08 02:26:55.672274]Total energy: 16858714.29340429
[2022-04-08 02:28:07.857490]Total energy: 16866623.96647495
[2022-04-08 02:29:21.158547]Total energy: 16874719.59449054
[2022-04-08 02:30:54.190247]Total energy: 16857777.56019293
[2022-04-08 02:32:20.396272]Total energy: 16865240.960608758
[2022-04-08 02:33:36.219138]Total energy: 16841695.7590249
[2022-04-08 02:34:50.451298]Total energy: 16870671.038004514
[2022-04-08 02:36:03.051011]Total energy: 16859270.703149203
[2022-04-08 02:37:15.324081]Total energy: 16859465.102867175
[2022-04-08 02:38:28.079619]Total energy: 16846289.545504645
[2022-04-08 02:39:42.323153]Total energy: 16841279.24504007
[2022-04-08 02:41:05.600408]Total energy: 16856439.2341207
[2022-04-08 02:42:29.031470]Total energy: 16823446.247158404
[2022-04-08 02:43:44.393009]Total energy: 16829305.62060844
[2022-04-08 02:44:57.316601]Total energy: 16843943.801227264
[2022-04-08 02:46:10.407245]Total energy: 16839928.498539846
[2022-04-08 02:47:22.055522]Total energy: 16864897.632906437
[2022-04-08 02:48:35.382507]Total energy: 16838623.019448295
[2022-04-08 02:49:50.198060]Total energy: 16871541.781910323
[2022-04-08 02:51:12.533656]Total energy: 16881084.656796977
[2022-04-08 02:52:33.778871]Total energy: 16806519.070581213
[2022-04-08 02:53:51.926634]Total energy: 16858777.546193253
[2022-04-08 02:55:05.652679]Total energy: 16909952.08801746
[2022-04-08 02:56:25.328056]Total energy: 16904580.93450996
[2022-04-08 02:57:44.278750]Total energy: 16898288.34088422
[2022-04-08 02:59:01.807913]Total energy: 16904361.389456768
[2022-04-08 03:00:21.576820]Total energy: 16914572.30565095
[2022-04-08 03:01:50.601216]Total energy: 16890564.26001703
[2022-04-08 03:03:07.125284]Total energy: 16891644.112931047
[2022-04-08 03:04:22.185410]Total energy: 16917232.276819203
