Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:15:00,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,1.566039E+00,1.579905E+04,7.077575E+03,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,7.478054E-01,6.569077E+03,8.893766E+02,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,7.175665E-01,6.303444E+03,8.534129E+02
00:30:00,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,1.608609E+00,1.614535E+04,7.408246E+03,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,7.934166E-01,6.792753E+03,7.641916E+02,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,7.557957E-01,6.470666E+03,7.279564E+02
00:45:00,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,1.634786E+00,1.625631E+04,7.492455E+03,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.243007E-01,6.873281E+03,6.075238E+02,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,7.837972E-01,6.535549E+03,5.776720E+02
01:00:00,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,1.650857E+00,1.622204E+04,7.430572E+03,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.451669E-01,6.858730E+03,4.317704E+02,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.022176E-01,6.510187E+03,4.098289E+02
01:15:00,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,1.662753E+00,1.621450E+04,7.400521E+03,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.602120E-01,6.852895E+03,3.097719E+02,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.149971E-01,6.492690E+03,2.934895E+02
01:30:00,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,1.672921E+00,1.618283E+04,7.350186E+03,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.713339E-01,6.811914E+03,1.824022E+02,7.072852E-01,2.181915E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.237937E-01,6.440254E+03,1.724503E+02
01:45:00,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,1.681745E+00,1.613238E+04,7.283701E+03,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.808999E-01,6.755693E+03,5.160227E+01,7.162385E-01,2.209536E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.310512E-01,6.373399E+03,4.868218E+01
02:00:00,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,1.689561E+00,1.606785E+04,7.204779E+03,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.893239E-01,6.688038E+03,0.000000E+00,7.303491E-01,2.253066E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.371376E-01,6.295578E+03,0.000000E+00
02:15:00,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,1.697571E+00,1.604944E+04,7.173836E+03,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.980096E-01,6.653194E+03,0.000000E+00,7.437493E-01,2.294404E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.434283E-01,6.248810E+03,0.000000E+00
02:30:00,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,1.704990E+00,1.602280E+04,7.135522E+03,7.008792E-01,2.162154E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,9.060749E-01,6.611885E+03,0.000000E+00,7.559134E-01,2.331929E+04,7.008792E-01,0.000000E+00,0.000000E+00,7.008792E-01,0.000000E+00,8.490427E-01,6.195705E+03,0.000000E+00
